employee_id,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
45157,1,27,,1,1,0,50,no
23523,1,29,3,5,0,0,75,no
74349,1,34,1,4,0,0,48,no
70543,1,37,5,7,1,0,70,no
42245,1,33,3,3,1,0,73,no
34405,1,33,5,4,1,0,67,no
4134,1,39,1,8,0,0,45,no
23599,1,34,4,7,0,0,82,no
942,2,32,4,6,0,0,84,no
5281,1,34,4,6,0,0,53,no
197,1,29,5,6,1,0,61,no
37574,2,28,1,2,0,0,50,no
26773,1,28,2,5,0,0,75,no
70034,2,35,3,9,0,0,70,no
40565,2,40,3,3,0,0,86,no
17193,2,27,2,4,0,0,54,no
76550,3,26,3,3,1,0,70,no
53841,1,43,2,12,0,0,57,no
28314,1,23,,1,0,0,61,no
30196,1,29,5,6,1,0,84,no
29757,1,43,3,15,0,0,51,no
6073,3,27,4,4,0,0,49,no
9863,1,26,4,4,1,0,70,no
34306,1,31,5,5,1,0,72,no
34041,1,40,4,11,0,0,58,no
21356,2,39,5,12,1,0,55,no
29540,2,30,3,6,0,0,57,no
51669,1,47,4,4,1,0,77,no
33825,1,34,4,7,1,0,48,yes
6254,1,33,4,9,0,0,64,no
11645,1,41,5,7,0,0,51,no
3231,1,29,1,4,0,0,80,no
7030,1,32,3,4,0,0,86,no
54198,1,47,5,9,0,0,68,no
62293,1,35,4,3,0,0,65,no
25312,1,27,4,2,0,0,75,no
75610,1,29,1,3,0,0,81,no
16518,2,36,3,9,0,0,49,no
42747,2,35,1,8,0,0,39,no
67980,2,34,3,2,0,0,70,no
53630,1,34,4,5,1,1,94,yes
72423,1,39,3,2,1,0,60,no
73022,1,26,5,2,1,0,51,no
63976,1,30,5,4,0,0,56,no
60761,1,31,4,2,0,0,62,no
57228,1,44,5,6,0,0,48,no
14912,1,38,3,4,1,0,49,no
22725,1,40,1,3,0,0,78,no
18981,1,50,5,6,0,1,58,no
50845,1,44,3,12,0,0,70,no
11800,1,23,1,2,0,0,69,no
16351,1,36,1,2,0,0,53,no
75881,1,25,1,4,0,0,80,no
73200,1,34,5,4,1,0,58,no
17833,1,28,,1,0,0,85,no
58338,2,30,5,6,1,0,81,no
40187,1,35,1,8,0,0,67,no
70193,1,33,4,8,0,0,86,no
27188,1,30,3,4,1,0,80,no
24291,2,27,5,3,1,0,85,no
43676,4,29,,1,0,0,68,no
52231,1,43,3,3,0,0,58,no
34241,2,28,3,5,1,0,86,no
76661,1,31,5,3,1,0,68,no
50595,1,43,4,12,0,0,58,no
67673,1,35,5,9,1,0,60,no
10547,2,35,3,9,0,0,49,no
73405,1,50,3,8,1,0,59,no
73114,1,26,4,3,0,0,50,no
22572,1,32,3,5,1,0,52,no
62923,1,38,5,2,1,1,93,yes
57235,1,22,4,2,0,0,51,no
22300,1,28,,1,1,0,52,no
24090,1,37,3,9,0,0,69,no
57298,2,54,3,9,1,0,86,no
25629,1,36,3,8,0,0,51,no
71339,1,35,3,8,0,0,78,no
54714,1,39,3,4,1,0,85,no
7390,1,31,5,4,1,0,63,no
9563,2,38,3,7,1,1,60,no
39107,1,28,1,2,0,0,48,no
19445,3,26,2,3,0,0,52,no
42636,1,29,,1,0,0,54,no
32557,1,30,3,4,0,0,84,no
43396,2,37,2,4,1,0,57,yes
24414,1,25,,1,1,0,76,no
63237,1,26,4,2,0,0,82,no
32838,1,31,4,4,0,0,78,no
23003,1,38,5,7,1,0,82,no
45198,1,39,4,9,0,0,49,no
40376,1,30,5,4,0,1,50,no
60176,1,34,5,8,1,0,67,no
67652,1,33,3,5,1,0,72,no
15476,1,29,5,3,1,0,78,no
55811,1,28,4,2,1,0,61,no
15737,1,24,,1,0,0,56,no
10058,2,26,4,2,1,0,87,no
73435,1,34,5,4,0,0,64,no
51255,1,35,3,7,0,0,46,no
70060,1,43,3,14,0,0,79,no
51473,1,34,1,8,0,0,39,no
71904,2,38,3,10,0,0,88,no
76080,1,34,1,5,0,0,54,no
33357,1,41,4,4,0,0,63,no
53502,2,29,1,4,0,0,61,no
26409,1,33,4,3,0,0,61,no
59608,1,41,4,5,1,0,48,no
28687,3,38,3,11,0,0,57,no
34312,2,54,4,23,0,0,66,no
11438,2,34,2,8,0,0,49,no
11794,2,26,5,3,1,0,87,no
48756,1,35,5,3,0,0,59,no
35873,1,28,,1,0,0,62,no
13970,1,36,3,4,0,0,60,no
49868,1,45,3,15,0,0,87,no
25261,1,38,4,7,0,0,66,no
44536,1,26,2,4,0,0,47,no
55550,1,31,3,4,0,0,85,no
27989,1,32,3,7,0,0,87,no
12598,1,29,4,4,0,0,78,no
32877,1,40,3,12,0,0,50,no
30682,2,29,4,6,0,0,75,no
1829,2,31,5,7,1,0,87,no
2177,1,32,5,6,1,0,58,no
51771,1,42,5,11,0,0,67,no
26026,1,30,5,3,1,0,65,no
64977,1,24,3,2,1,0,70,no
44585,1,35,3,7,0,0,56,no
43562,2,32,1,3,0,0,80,no
56287,1,22,3,2,0,0,47,no
19100,2,44,5,14,0,0,48,no
58203,2,39,3,9,0,0,58,no
12504,1,46,4,17,0,0,85,no
49126,1,29,2,5,0,0,77,no
66469,1,26,1,3,0,0,59,no
53350,1,35,4,5,0,0,61,no
22031,1,29,4,2,1,0,95,yes
36185,1,30,2,9,0,0,79,no
58415,1,45,4,5,0,0,50,no
71763,1,30,1,6,0,0,47,no
62742,1,28,2,4,0,0,59,no
33619,1,46,5,10,1,0,76,no
41212,1,27,2,2,0,0,69,no
40204,1,34,2,5,0,0,47,no
59131,2,32,5,3,1,0,86,no
12559,1,35,5,10,0,0,63,no
30433,1,36,4,3,1,0,66,no
13150,1,58,1,13,0,0,70,no
9616,1,29,4,4,0,0,57,no
26563,1,33,3,3,1,0,67,no
38331,1,32,5,6,0,0,62,no
18651,1,25,5,2,1,0,59,no
45004,4,41,2,9,0,0,68,no
11892,1,25,,1,1,0,69,no
16859,1,50,1,7,0,1,79,no
26107,1,30,1,7,0,0,53,no
22511,1,28,,1,0,0,81,no
22865,1,40,5,5,0,1,83,yes
67467,1,26,3,2,0,0,61,no
2268,1,35,5,8,1,0,81,no
33517,1,37,3,7,1,0,52,no
27605,1,34,3,3,0,0,75,yes
69349,1,25,3,2,0,0,57,no
45496,1,22,5,2,0,0,62,yes
66262,2,26,5,2,1,0,68,yes
55425,1,31,4,7,1,0,80,no
29543,4,31,5,3,1,0,60,no
36547,1,32,3,6,1,0,86,no
11205,1,36,5,8,0,0,48,no
469,1,57,3,19,0,0,81,no
44703,1,42,4,9,0,0,51,no
14847,1,28,3,3,0,0,48,no
43689,2,33,4,3,1,0,86,no
72157,1,41,3,3,0,0,86,no
74579,2,26,,1,0,0,61,no
51544,1,32,5,5,0,1,84,yes
5128,1,48,3,8,0,0,57,no
37952,1,41,3,7,0,0,58,no
39914,1,31,5,4,1,0,82,no
74332,1,37,4,5,0,0,54,no
42886,1,30,1,4,0,0,84,no
53988,1,26,5,2,1,0,60,no
49775,1,44,5,11,0,0,42,no
66965,1,44,3,10,0,0,60,no
70197,1,30,4,2,1,0,96,yes
66210,1,24,3,2,0,0,59,no
71008,1,40,1,10,0,0,49,no
52132,1,32,3,5,0,0,80,no
72604,1,40,5,7,0,0,53,no
66802,2,24,4,3,1,0,78,no
55730,1,45,4,15,0,0,64,yes
8284,1,34,5,5,0,0,60,yes
69715,1,58,4,18,1,0,60,no
36117,1,35,3,7,0,0,82,no
56139,1,24,4,2,0,0,51,no
15924,1,35,2,8,0,0,48,no
41776,1,31,1,2,0,0,81,no
25949,1,33,3,5,0,0,60,no
51509,1,44,3,14,0,0,47,no
36936,1,24,2,2,1,0,52,yes
25572,2,34,2,10,0,0,69,no
11337,1,37,5,2,0,0,54,no
34965,2,31,3,4,0,0,63,no
38318,1,32,3,8,0,0,69,no
60969,1,33,5,7,1,0,57,no
72765,1,53,3,11,0,0,57,no
16951,2,37,5,4,1,0,57,no
54416,1,30,2,5,0,0,49,no
4585,1,35,5,3,1,0,81,no
64140,1,32,3,4,0,0,80,no
35746,1,45,3,9,0,0,61,no
6587,1,29,,1,0,0,69,no
1901,2,31,3,4,0,0,53,no
56849,2,34,3,8,0,0,80,no
56233,1,24,,1,1,0,86,no
15844,1,31,5,7,1,0,59,no
1497,1,37,3,6,1,0,47,no
11488,1,42,3,12,0,0,48,no
59616,1,40,3,6,0,0,72,no
9002,1,37,5,5,1,0,64,no
63753,1,50,3,8,0,0,57,no
9192,1,28,,1,0,0,61,no
30143,1,57,3,13,0,0,53,no
23360,2,42,2,10,0,0,46,no
53301,1,34,3,8,0,0,61,no
29073,1,34,5,8,1,0,54,no
36460,1,29,,1,0,0,62,no
3171,1,32,4,7,1,0,59,no
55062,1,27,5,2,0,0,61,no
64798,3,30,,1,1,0,83,no
7908,1,46,3,17,0,0,83,no
70048,1,37,3,10,1,0,49,yes
63757,1,48,4,13,0,0,52,no
19046,1,40,5,12,1,0,84,no
37427,1,32,3,6,0,0,73,no
58138,1,33,1,7,0,0,48,no
68064,1,35,3,6,0,0,66,no
6711,1,23,3,2,0,0,51,no
51002,1,32,3,4,0,0,86,no
5132,4,31,3,6,0,0,59,no
15801,1,40,4,13,0,0,60,no
47265,1,43,2,7,0,0,70,no
26798,1,38,3,6,0,0,60,no
72203,1,36,5,8,0,0,49,no
46862,1,49,5,20,1,0,65,no
75629,1,32,1,4,0,0,50,no
10452,2,26,3,2,0,0,91,no
37017,1,55,3,18,0,0,87,no
76427,1,35,3,5,0,0,50,no
46925,1,36,4,6,1,0,59,no
43828,1,29,5,4,1,0,45,no
58383,1,46,3,19,1,0,72,no
20660,2,30,3,4,0,0,84,no
46166,1,51,5,19,0,0,40,no
11123,1,37,3,7,0,0,54,no
67946,1,27,3,2,0,0,88,no
41763,1,43,1,4,0,0,49,no
40628,1,31,3,7,0,0,51,no
61482,2,38,4,9,1,0,65,no
63083,1,43,1,10,0,0,45,no
33789,3,29,3,4,0,0,81,no
3540,1,30,3,2,0,0,79,no
51292,1,49,5,22,1,0,50,no
137,1,49,4,5,0,0,90,no
73204,1,36,2,5,0,0,48,no
73753,1,33,1,3,0,0,71,no
49737,3,52,3,25,0,0,49,no
22462,1,29,,1,0,0,53,no
36905,1,37,3,11,0,0,56,no
16004,1,25,3,3,0,0,61,no
10002,1,24,,1,1,0,52,no
43176,1,37,4,13,0,0,79,no
12538,1,35,5,10,1,0,59,yes
56140,1,33,3,4,1,0,76,yes
71196,1,33,5,9,1,0,71,no
57893,1,59,3,28,0,0,78,no
5640,1,29,,1,0,0,88,no
41208,1,38,2,8,0,0,59,no
55857,1,48,4,13,0,0,57,no
27907,1,31,3,1,1,0,62,no
5933,1,32,1,5,0,0,77,no
44678,3,24,3,2,0,0,63,no
48266,2,37,5,5,1,0,77,no
46639,1,32,5,8,1,0,46,yes
21523,1,31,3,2,0,0,48,no
32437,2,45,3,5,1,1,61,no
65689,1,57,5,6,0,0,45,no
73819,2,39,2,8,0,0,59,no
74019,1,42,1,4,0,0,70,no
76698,1,45,3,4,0,1,65,yes
70387,1,41,3,3,1,0,61,no
56162,1,41,1,11,0,0,74,no
26260,1,34,1,7,0,0,50,no
53188,1,47,5,18,0,0,52,no
34074,1,33,5,7,1,0,51,no
38934,1,48,3,15,0,0,69,yes
39799,1,34,4,3,0,0,60,no
40775,1,35,5,4,1,0,47,no
41928,1,35,5,4,1,0,84,no
31364,2,26,3,2,0,0,79,no
25351,1,45,3,17,0,0,49,no
72690,1,31,3,1,0,0,54,no
11666,1,30,5,7,0,0,49,no
10167,1,46,1,5,0,0,50,no
43399,1,60,5,4,1,0,56,no
72916,1,44,5,11,1,0,55,no
19440,3,35,3,3,0,0,86,no
55444,2,33,2,6,0,0,52,no
10360,1,38,4,8,1,0,55,no
66637,1,39,3,5,0,0,80,no
63026,1,30,3,2,0,0,50,no
53981,1,31,,1,1,0,65,no
66248,1,57,4,3,0,0,50,no
73279,1,34,1,7,0,0,50,no
57365,1,38,3,4,1,0,66,no
36691,1,24,,1,1,0,55,no
31987,1,45,3,16,0,0,87,yes
73265,1,40,1,11,0,0,53,no
62530,2,32,3,3,0,0,70,no
52716,2,29,3,2,0,0,48,no
12930,1,39,4,11,0,0,59,no
70371,1,32,3,7,0,0,80,no
32774,2,57,4,7,1,0,58,no
78119,1,36,3,4,1,0,72,no
50338,1,34,1,5,0,0,46,no
64630,1,33,5,7,1,0,50,no
1830,1,39,2,4,1,0,81,no
60743,2,32,4,8,0,0,59,no
77734,1,31,3,6,0,0,77,no
51440,1,31,1,7,1,0,52,no
58579,1,25,3,3,0,0,68,no
38123,1,43,5,4,1,0,50,no
57033,1,25,,1,0,0,65,no
42513,1,50,1,16,0,0,68,no
29146,3,32,3,4,1,0,64,yes
72935,1,28,3,2,0,0,59,no
16889,1,32,1,5,0,0,51,no
6181,1,34,5,5,0,0,49,no
9025,1,30,5,4,0,0,55,no
65024,1,33,5,6,0,0,74,yes
61874,2,46,4,19,1,0,70,no
30900,1,35,4,10,1,0,50,yes
44381,1,33,5,8,1,0,59,yes
805,1,30,4,4,0,0,59,no
10468,2,33,5,4,1,0,71,no
54127,1,28,4,5,0,0,52,no
63027,1,38,3,8,0,0,84,no
26944,1,34,2,7,1,0,49,yes
6788,2,40,,1,1,0,51,no
51318,2,30,3,5,0,0,73,no
30551,1,29,2,7,0,0,60,no
74141,1,30,3,3,0,0,83,no
16399,1,38,4,10,0,0,50,no
10389,3,40,3,11,0,0,60,no
15369,1,29,4,5,0,0,86,no
41337,1,53,4,25,0,0,47,no
633,1,26,3,2,0,0,49,no
30155,2,28,,1,0,0,82,no
59337,1,26,,1,1,0,84,no
3968,1,28,3,4,0,0,65,no
1709,1,30,3,3,0,0,51,no
1588,1,59,4,4,1,0,56,no
573,1,29,,1,1,0,86,no
24750,1,31,3,4,0,0,83,no
9098,1,26,3,2,0,0,69,no
41768,1,37,3,10,0,0,62,no
43660,1,25,3,1,0,0,62,no
8027,1,27,2,3,1,0,78,no
15774,1,39,4,10,0,0,60,no
4857,1,36,5,3,1,0,91,yes
58988,2,35,5,6,1,0,91,yes
54550,1,28,,1,0,0,81,no
31552,1,30,,1,1,0,50,no
76968,1,37,5,9,1,0,75,no
73203,2,35,1,9,0,0,80,no
60095,1,30,1,5,0,0,54,no
6731,1,30,5,1,0,0,96,yes
39725,1,45,4,3,0,0,83,no
70021,1,36,3,7,1,0,71,no
22958,1,37,3,4,0,0,50,no
21955,2,39,3,4,0,0,73,no
72984,1,37,5,6,0,0,59,no
63667,1,28,,1,0,0,82,yes
4147,1,40,3,12,0,0,70,no
28714,1,30,5,3,1,0,52,no
51959,1,36,4,7,0,0,56,no
68716,1,27,2,4,0,0,57,no
30802,1,29,1,4,0,0,57,no
34542,7,31,3,5,1,0,82,no
32970,1,36,4,7,1,0,67,no
10936,1,30,4,4,0,0,57,no
20326,2,32,3,6,1,0,86,no
38445,1,29,5,2,0,0,50,no
18621,1,29,,1,0,0,45,no
10345,2,38,1,8,0,0,47,no
25834,1,51,3,15,0,0,71,no
333,1,32,3,8,0,0,58,no
28850,1,36,3,5,1,0,83,no
61888,2,30,5,5,1,0,57,no
30928,1,26,3,5,0,0,56,no
21230,2,32,5,3,1,0,83,yes
22445,2,26,3,3,0,0,50,no
57206,1,30,4,2,0,0,83,no
57587,1,28,1,2,0,0,50,no
29950,1,40,3,18,1,0,55,yes
1825,1,33,1,6,0,0,66,no
5272,1,24,,1,0,0,73,yes
49389,1,27,,1,1,0,59,no
66875,1,30,4,2,1,0,61,no
51071,1,37,3,9,0,0,44,no
62499,1,33,3,9,0,0,58,no
4566,2,31,3,2,0,0,84,no
77674,1,43,3,3,0,0,48,no
70679,1,39,1,10,1,0,52,yes
20516,1,24,3,2,1,1,81,yes
45145,1,41,2,12,0,0,71,no
45721,1,35,5,4,1,0,85,no
52241,1,24,,1,0,0,49,no
23337,3,33,2,7,0,0,53,no
8386,1,35,3,3,0,0,47,no
70491,1,30,2,8,1,1,50,no
23241,1,29,3,2,0,0,68,no
54003,1,28,5,2,1,0,50,no
24843,1,48,5,15,1,0,61,no
35222,1,31,3,3,0,0,79,no
47183,1,26,1,3,1,0,50,no
22660,2,24,,1,0,0,47,no
11943,1,30,,1,1,0,76,no
57744,1,38,3,2,1,0,61,no
29142,1,27,5,3,1,0,49,no
15620,1,49,1,24,0,0,77,no
44301,1,32,,1,0,0,80,no
24875,1,26,,1,0,0,65,no
61614,1,35,5,7,0,0,48,no
73393,2,46,3,3,0,0,59,no
27459,1,34,2,6,0,0,69,no
27533,2,30,1,3,1,0,59,no
47584,1,53,1,11,0,0,67,no
75636,1,49,3,17,0,0,48,no
18390,1,35,3,5,0,0,68,no
69146,1,34,4,4,0,0,83,no
10122,7,26,2,5,0,0,46,no
20927,2,29,,1,0,0,47,no
60018,1,37,3,4,0,0,58,no
68791,2,25,4,2,0,0,80,no
25354,1,47,4,16,1,0,48,yes
3491,1,28,2,5,0,0,85,no
74687,1,32,5,10,1,0,48,no
50049,1,34,3,4,0,0,71,no
30088,1,36,4,3,0,0,59,no
45140,1,32,2,6,0,0,59,no
35436,2,32,2,5,0,0,72,no
72109,1,29,4,3,0,0,52,no
24397,1,32,4,4,1,1,57,yes
44154,5,27,3,2,0,0,52,no
60571,1,34,5,4,1,0,51,no
59722,1,36,3,8,0,0,48,no
27505,1,26,5,2,1,0,59,no
9072,1,33,4,3,1,0,94,yes
14939,1,47,1,3,0,0,45,no
13888,1,42,3,2,0,0,48,no
44589,1,38,1,8,0,0,54,no
15024,4,32,5,8,0,0,93,yes
57609,1,44,3,16,0,0,70,no
8470,1,33,4,5,1,0,46,no
47152,2,27,3,3,0,0,55,no
43153,2,50,5,14,0,0,85,no
4464,2,29,3,4,0,0,71,no
17190,1,29,5,4,0,0,84,yes
109,2,28,3,2,0,0,79,no
48753,1,44,5,7,1,0,84,no
17602,1,32,4,2,1,0,61,no
71562,2,30,3,6,0,0,83,no
70593,1,37,5,4,1,0,59,no
4445,1,37,3,5,1,0,59,no
47038,1,32,1,4,0,0,52,no
31070,1,36,3,2,0,0,66,no
33000,2,34,3,4,1,0,62,no
20974,1,30,3,3,0,0,65,no
64764,1,26,,1,1,1,81,yes
38060,1,31,1,2,0,0,51,no
40172,1,41,5,7,0,0,83,no
36808,1,33,2,7,0,0,57,no
9763,1,25,4,3,0,0,58,no
76038,1,39,3,6,1,0,58,no
71813,1,31,3,6,0,0,70,no
42426,1,56,2,16,0,0,79,no
61602,1,30,1,3,0,0,50,no
48737,2,29,5,5,1,0,63,yes
65518,1,31,4,3,0,0,50,no
70606,2,28,4,2,0,0,82,no
7717,2,30,2,3,0,0,82,no
68386,1,30,1,2,0,0,84,no
51891,1,29,4,6,1,0,65,no
36931,1,31,3,3,1,0,60,no
60567,1,30,3,6,1,0,84,yes
22820,1,26,,1,0,0,72,no
11028,1,44,5,4,1,0,60,no
6425,1,31,1,6,0,0,70,no
13047,1,35,4,3,0,0,77,no
63491,1,41,3,3,0,0,73,no
44748,1,33,5,7,1,0,47,no
32186,1,33,5,4,1,0,81,no
55275,1,26,5,3,0,0,60,no
48682,1,47,4,19,0,0,48,no
74930,1,28,5,5,1,0,51,no
45051,1,32,1,5,0,0,52,no
24675,1,36,3,10,0,0,50,no
28572,2,39,3,5,0,0,68,no
38163,1,29,5,2,1,0,81,no
65257,3,45,3,6,0,0,47,no
14988,1,48,2,4,0,0,58,no
12936,2,32,3,5,0,0,49,no
58180,1,39,2,5,0,0,63,no
20295,1,53,4,19,1,0,57,no
71073,1,42,3,4,0,0,53,no
2221,2,35,5,4,0,0,59,no
47279,1,30,1,4,0,0,82,no
40019,1,31,4,6,1,0,86,no
50781,1,26,5,3,0,0,56,no
64947,1,35,5,3,1,1,45,yes
31258,1,45,1,5,0,0,52,no
11796,5,37,3,9,0,0,64,no
69912,1,42,5,10,1,0,59,no
38974,1,43,5,14,1,0,50,no
39544,1,27,5,2,1,0,58,no
5303,1,26,,1,1,0,48,no
14189,1,38,1,10,0,0,50,no
35644,1,31,4,5,1,0,82,no
23232,1,30,2,2,0,0,64,no
28851,1,37,4,11,0,0,70,no
8174,1,35,1,4,0,0,48,no
72379,2,38,5,4,1,0,63,no
7814,3,30,5,2,0,0,85,no
54321,1,30,,1,1,0,78,yes
17873,2,28,3,2,0,0,52,no
32272,1,42,4,7,0,0,59,no
31847,1,33,2,7,0,0,68,no
11855,1,39,4,4,0,0,45,no
70961,1,33,2,7,1,0,49,no
32378,1,43,4,6,0,0,81,no
45064,1,30,4,7,0,0,59,no
28533,1,37,3,3,1,0,85,no
1412,1,33,4,6,1,1,81,no
15311,1,38,5,10,0,0,49,no
43786,2,27,3,3,1,0,85,yes
13825,1,24,5,2,0,0,55,no
36207,1,35,2,10,0,0,58,no
18293,2,42,5,2,1,0,57,no
21794,1,32,3,7,0,0,53,no
11349,2,25,3,2,0,0,45,no
65504,1,35,5,6,1,0,67,no
73508,1,54,3,24,0,0,75,no
68754,1,33,2,3,0,0,45,no
6099,1,27,,1,0,0,48,no
38634,2,28,3,2,1,0,86,yes
38271,1,36,3,8,0,0,44,no
53405,3,51,3,7,1,0,72,no
77609,2,31,3,2,0,0,57,no
22580,2,25,1,4,0,0,47,no
43497,1,45,3,3,0,0,51,no
14781,1,31,3,4,0,0,64,no
14576,1,39,3,11,0,0,53,no
45407,1,39,4,5,1,0,73,no
3124,1,25,2,2,1,0,66,no
70800,1,37,5,8,1,1,99,yes
35493,1,29,5,3,1,0,80,no
25396,1,27,1,5,0,0,52,no
5283,1,27,4,3,0,0,59,no
10067,1,47,4,6,0,0,51,no
