IsCanceled,Adults,Children,Country,IsRepeatedGuest,CustomerType,ADR,hotel,book_id,ArrivalDate
1,2,0,PRT,0,Transient,166,Resort,RTransient2015August5-14,8/5/2015
0,2,,FRA,0,Transient,210.33,Resort,RTransient2015August9-6,8/9/2015
0,2,0,PRT,0,Transient,164.65,Resort,RTransient2015August10-13,8/10/2015
1,2,0,PRT,0,Transient,120.6,Resort,RTransient2015August11-6,8/11/2015
1,,0,PRT,0,Transient,209,resort,RTransient2015August14-14,8/14/2015
0,2,0,ESP,0,Transient,195.8,Resort,RTransient2015August14-16,8/14/2015
1,2,0,PRT,0,Transient,184.45,Resort,RTransient2015August16-6,8/16/2015
1,2,0,PRT,0,Transient,133,Resort,RTransient2015August20-9,8/20/2015
1,2,0,PRT,0,Transient,172,Resort,RTransient2015August22-5,8/22/2015
1,2,0,PRT,0,Transient,177.57,Resort,RTransient2015August22-14,8/22/2015
1,2,0,PRT,0,Transient,148.3,Resort,RTransient2015August22-20,8/22/2015
0,2,0,PRT,0,Transient,199.4,resort,RTransient2015August24-15,8/24/2015
0,2,0,GBR,0,Transient,133.76,Resort,RTransient2015August24-21,8/24/2015
1,2,1,PRT,0,Transient,197.7,Resort,RTransient2015August24-22,8/24/2015
1,2,0,PRT,0,Transient-Party,110.7,Resort,RTransient-Party2015August28-1,8/28/2015
1,2,0,PRT,0,Transient,130.6,Resort,RTransient2015August28-24,8/28/2015
0,2,0,PRT,0,Transient,103.5,Resort,RTransient2015August30-3,8/30/2015
0,2,0,ROU,0,Transient,112.33,Resort,RTransient2015August30-9,8/30/2015
1,2,0,PRT,0,Transient,161.29,Resort,RTransient2015August30-17,8/30/2015
0,2,0,ESP,0,Transient,120.33,Resort,RTransient2015August31-5,8/31/2015
0,2,0,ESP,0,Transient,134.67,Resort,RTransient2015September1-4,9/1/2015
0,2,0,PRT,0,Transient,123,Resort,RTransient2015September5-3,9/5/2015
1,2,0,PRT,0,Transient,131,Resort,RTransient2015September5-15,9/5/2015
0,2,0,GBR,0,Transient,98,Resort,RTransient2015September5-17,9/5/2015
1,2,0,PRT,0,Transient,113,Resort,RTransient2015September6-26,9/6/2015
1,2,0,PRT,0,Transient,146,Resort,RTransient2015September9-5,9/9/2015
0,2,0,PRT,0,Transient,73.8,Resort,RTransient2015September10-4,9/10/2015
1,2,0,PRT,0,Transient,73.8,Resort,RTransient2015September13-3,9/13/2015
0,2,0,ESP,0,Transient,122.75,Resort,RTransient2015September13-6,9/13/2015
0,2,0,NLD,0,Transient,103.51,Resort,RTransient2015September14-13,9/14/2015
1,2,0,PRT,0,Transient,103.8,Resort,RTransient2015September15-4,9/15/2015
0,1,0,ESP,0,Transient,58.5,Resort,RTransient2015September16-8,9/16/2015
0,2,0,BRA,0,Transient,66.6,Resort,RTransient2015September17-1,9/17/2015
1,2,0,PRT,0,Transient,84.71,Resort,RTransient2015September17-9,9/17/2015
0,2,0,GBR,0,Contract,73.5,Resort,RContract2015September17-2,9/17/2015
1,2,0,PRT,0,Transient-Party,26,Resort,RTransient-Party2015September21-1,9/21/2015
0,2,0,ITA,0,Transient,74.8,Resort,RTransient2015September23-6,9/23/2015
1,2,0,PRT,0,Transient,109,Resort,RTransient2015September25-12,9/25/2015
0,,0,IRL,0,Transient,90.49,Resort,RTransient2015September25-15,9/25/2015
0,1,0,FRA,0,Transient-Party,58.5,Resort,RTransient-Party2015September30-2,9/30/2015
0,2,0,DEU,0,Transient,48,Resort,RTransient2015September30-13,9/30/2015
0,,1,PRT,0,Transient,74.4,Resort,RTransient2015October1-10,10/1/2015
0,2,0,PRT,0,Transient,86,Resort,RTransient2015October3-19,10/3/2015
0,2,0,IRL,0,Transient,63.66,Resort,RTransient2015October4-5,10/4/2015
0,2,0,IRL,0,Transient,63.47,Resort,RTransient2015October4-25,10/4/2015
1,2,0,PRT,0,Transient,71.67,Resort,RTransient2015October5-14,10/5/2015
0,2,0,BEL,0,Transient,41.6,Resort,RTransient2015October7-14,10/7/2015
1,2,0,PRT,0,Contract,50,Resort,RContract2015October9-4,10/9/2015
0,2,0,GBR,0,Transient,70.4,Resort,RTransient2015October9-50,10/9/2015
1,2,0,PRT,0,Transient,36.05,Resort,RTransient2015October10-26,10/10/2015
1,2,0,PRT,0,Transient,98,Resort,RTransient2015October10-33,10/10/2015
1,5,0,PRT,0,Group,0,Resort,RGroup2015October12-3,10/12/2015
0,2,0,PRT,0,Transient-Party,0,Resort,RTransient-Party2015October16-1,10/16/2015
0,2,0,GBR,0,Contract,43.93,Resort,RContract2015October18-2,10/18/2015
0,3,0,GBR,0,Contract,67.15,Resort,RContract2015October20-1,10/20/2015
0,1,0,DEU,0,Transient,36,Resort,RTransient2015October20-8,10/20/2015
0,2,0,CYM,0,Transient-Party,40.5,Resort,RTransient-Party2015October22-1,10/22/2015
0,2,0,PRT,0,Transient,42,Resort,RTransient2015October30-9,10/30/2015
1,2,0,PRT,0,Transient,36,Resort,RTransient2015October31-40,10/31/2015
0,2,0,ESP,0,Transient,48,Resort,RTransient2015October31-57,10/31/2015
0,1,0,PRT,0,Transient,35,Resort,RTransient2015November5-1,11/5/2015
0,2,0,ZWE,0,Transient,26.1,Resort,RTransient2015November6-5,11/6/2015
1,2,1,PRT,0,Transient,32.62,Resort,RTransient2015November7-3,11/7/2015
0,2,0,ESP,0,Transient,74,Resort,RTransient2015November8-5,11/8/2015
1,1,0,PRT,0,Transient-Party,36,Resort,RTransient-Party2015November11-5,11/11/2015
1,2,0,PRT,0,Contract,48,Resort,RContract2015November11-1,11/11/2015
0,2,0,PRT,0,Transient-Party,71,Resort,RTransient-Party2015November18-13,11/18/2015
0,2,0,ESP,0,Transient-Party,64,Resort,RTransient-Party2015November20-1,11/20/2015
0,2,0,PRT,0,Transient-Party,32,Resort,RTransient-Party2015November21-18,11/21/2015
0,2,0,GBR,0,Transient,33.3,Resort,RTransient2015December3-5,12/3/2015
1,2,0,PRT,0,Transient,50.4,Resort,RTransient2015December4-1,12/4/2015
0,2,0,GBR,0,Contract,35.7,Resort,RContract2015December4-1,12/4/2015
1,2,0,PRT,0,Transient-Party,70,Resort,RTransient-Party2015December5-59,12/5/2015
1,1,0,PRT,0,Transient,47.54,Resort,RTransient2015December20-7,12/20/2015
0,2,0,PRT,0,Transient,48,Resort,RTransient2015December20-8,12/20/2015
1,2,2,PRT,0,Transient,38.81,Resort,RTransient2015December21-10,12/21/2015
0,1,0,PRT,0,Transient,43.57,Resort,RTransient2015December23-1,12/23/2015
0,2,0,ITA,0,Transient,85.2,Resort,RTransient2015December23-2,12/23/2015
0,2,0,PRT,0,Transient-Party,51,Resort,RTransient-Party2015December24-3,12/24/2015
1,2,0,PRT,0,Transient,71.28,Resort,RTransient2015December27-5,12/27/2015
0,2,0,FRA,0,Transient,81.9,Resort,RTransient2015December28-15,12/28/2015
0,1,0,PRT,0,Transient-Party,0,Resort,RTransient-Party2015December30-49,12/30/2015
0,2,0,PRT,0,Transient,160.98,Resort,RTransient2015December31-20,12/31/2015
1,1,0,PRT,0,Transient,38,Resort,RTransient2016January26-2,1/26/2016
1,2,2,PRT,0,Transient,98,Resort,RTransient2016February4-5,2/4/2016
1,2,0,PRT,0,Transient-Party,73.33,Resort,RTransient-Party2016February6-17,2/6/2016
0,2,0,FRA,0,Transient-Party,50,Resort,RTransient-Party2016February9-13,2/9/2016
1,1,0,PRT,0,Transient,25,Resort,RTransient2016February11-8,2/11/2016
0,2,0,GBR,0,Transient,46.8,Resort,RTransient2016February11-17,2/11/2016
1,2,0,PRT,0,Transient,50,Resort,RTransient2016February12-5,2/12/2016
1,2,0,PRT,0,Transient-Party,68,Resort,RTransient-Party2016February12-11,2/12/2016
0,2,0,ESP,0,Transient-Party,70,Resort,RTransient-Party2016February12-32,2/12/2016
1,2,0,PRT,0,Transient,50,Resort,RTransient2016February12-58,2/12/2016
1,2,0,PRT,0,Transient,50,Resort,RTransient2016February12-59,2/12/2016
1,2,1,PRT,0,Transient,107,Resort,RTransient2016February13-3,2/13/2016
1,2,0,PRT,0,Transient,48,Resort,RTransient2016February17-4,2/17/2016
0,2,0,IRL,0,Transient,38.32,Resort,RTransient2016February20-6,2/20/2016
0,2,0,GBR,0,Transient-Party,63.9,Resort,RTransient-Party2016February20-2,2/20/2016
1,2,0,PRT,0,Transient,70,Resort,RTransient2016February26-24,2/26/2016
0,2,0,ESP,0,Transient-Party,64,Resort,RTransient-Party2016February27-12,2/27/2016
1,2,0,PRT,0,Transient,48,Resort,RTransient2016February27-6,2/27/2016
0,2,0,ESP,0,Transient-Party,64,Resort,RTransient-Party2016February27-19,2/27/2016
0,2,0,ESP,0,Transient-Party,64,Resort,RTransient-Party2016February27-21,2/27/2016
1,2,0,PRT,0,Transient,48,Resort,RTransient2016February28-6,2/28/2016
1,1,0,PRT,0,Transient,70,Resort,RTransient2016March1-2,3/1/2016
1,2,0,PRT,0,Transient,75,Resort,RTransient2016March4-1,3/4/2016
1,2,0,PRT,0,Transient-Party,81,Resort,RTransient-Party2016March5-9,3/5/2016
1,2,0,PRT,0,Transient,39.1,Resort,RTransient2016March11-6,3/11/2016
1,2,0,PRT,0,Transient,29,Resort,RTransient2016March20-7,3/20/2016
1,2,0,PRT,0,Transient-Party,38,Resort,RTransient-Party2016March24-53,3/24/2016
0,2,0,PRT,0,Transient,50.4,Resort,RTransient2016March25-4,3/25/2016
1,2,0,PRT,0,Transient,48,Resort,RTransient2016March28-6,3/28/2016
1,2,0,PRT,0,Transient-Party,73,Resort,RTransient-Party2016March28-11,3/28/2016
0,2,0,PRT,0,Transient-Party,66,Resort,RTransient-Party2016March31-10,3/31/2016
1,2,0,PRT,0,Transient,76.05,Resort,RTransient2016April11-6,4/11/2016
0,1,0,DEU,0,Transient-Party,54.5,Resort,RTransient-Party2016April16-13,4/16/2016
0,2,0,DEU,0,Transient-Party,85,Resort,RTransient-Party2016April18-39,4/18/2016
1,2,0,PRT,0,Transient,46,Resort,RTransient2016April22-8,4/22/2016
1,2,0,PRT,0,Transient,58,Resort,RTransient2016April22-18,4/22/2016
1,2,0,PRT,0,Transient,73,Resort,RTransient2016April23-10,4/23/2016
1,1,0,PRT,0,Transient,54,Resort,RTransient2016April23-17,4/23/2016
0,1,0,FRA,0,Transient-Party,30,Resort,RTransient-Party2016April26-14,4/26/2016
1,2,0,PRT,0,Transient-Party,72,Resort,RTransient-Party2016April27-5,4/27/2016
1,2,0,PRT,0,Transient,65,Resort,RTransient2016April28-2,4/28/2016
1,2,0,PRT,0,Transient-Party,47,Resort,RTransient-Party2016April29-3,4/29/2016
1,2,0,PRT,0,Transient,46,Resort,RTransient2016April29-53,4/29/2016
0,2,0,DEU,0,Transient-Party,85,Resort,RTransient-Party2016April30-11,4/30/2016
1,2,0,NLD,0,Transient,93.57,Resort,RTransient2016April30-19,4/30/2016
0,2,0,DEU,0,Transient-Party,85,Resort,RTransient-Party2016May2-5,5/2/2016
0,2,0,GBR,0,Contract,55.83,Resort,RContract2016May3-1,5/3/2016
1,1,0,PRT,0,Transient,65.6,Resort,RTransient2016May4-2,5/4/2016
0,2,0,IRL,0,Transient,48.98,Resort,RTransient2016May5-8,5/5/2016
1,2,0,PRT,0,Transient,65.7,Resort,RTransient2016May6-11,5/6/2016
0,2,0,IRL,0,Transient,65.7,Resort,RTransient2016May9-7,5/9/2016
1,2,0,PRT,0,Transient,88,Resort,RTransient2016May9-10,5/9/2016
0,2,0,FRA,0,Transient-Party,46,Resort,RTransient-Party2016May10-1,5/10/2016
0,2,0,GBR,0,Transient-Party,58,Resort,RTransient-Party2016May12-12,5/12/2016
1,2,2,NOR,0,Transient,135,Resort,RTransient2016May12-5,5/12/2016
1,2,0,PRT,0,Transient-Party,70,Resort,RTransient-Party2016May15-30,5/15/2016
1,2,0,PRT,0,Transient,46,Resort,RTransient2016May17-6,5/17/2016
1,2,0,PRT,0,Transient,46,Resort,RTransient2016May17-10,5/17/2016
1,1,0,PRT,0,Transient,55,Resort,RTransient2016May18-20,5/18/2016
1,2,0,PRT,0,Transient,80,Resort,RTransient2016May21-6,5/21/2016
1,2,0,PRT,0,Transient-Party,88,Resort,RTransient-Party2016May21-1,5/21/2016
0,2,0,GBR,0,Transient-Party,66,Resort,RTransient-Party2016May24-11,5/24/2016
1,2,0,PRT,0,Transient,52.2,Resort,RTransient2016May25-10,5/25/2016
0,1,0,GBR,0,Transient-Party,60,Resort,RTransient-Party2016May26-22,5/26/2016
0,1,0,GBR,0,Transient-Party,60,Resort,RTransient-Party2016May26-36,5/26/2016
1,2,0,PRT,0,Transient,58,Resort,RTransient2016May27-3,5/27/2016
1,1,0,PRT,0,Transient,58,Resort,RTransient2016May27-6,5/27/2016
0,2,0,DEU,0,Transient-Party,85,Resort,RTransient-Party2016May28-23,5/28/2016
1,2,0,PRT,0,Transient,99,Resort,RTransient2016May29-1,5/29/2016
1,2,0,BRA,0,Transient,77,Resort,RTransient2016May31-1,5/31/2016
1,2,0,PRT,0,Transient,80,Resort,RTransient2016May31-4,5/31/2016
1,2,0,PRT,0,Transient,110,Resort,RTransient2016June1-11,6/1/2016
0,2,0,GBR,0,Transient,64.9,Resort,RTransient2016June1-22,6/1/2016
1,2,0,PRT,0,Transient,97.3,Resort,RTransient2016June3-5,6/3/2016
1,2,2,PRT,0,Transient,138.71,Resort,RTransient2016June4-7,6/4/2016
1,2,0,PRT,0,Transient,110,Resort,RTransient2016June9-4,6/9/2016
1,2,0,PRT,0,Transient,99,Resort,RTransient2016June10-4,6/10/2016
1,2,0,PRT,0,Transient,129,Resort,RTransient2016June13-14,6/13/2016
1,2,0,PRT,0,Transient,89.1,Resort,RTransient2016June14-6,6/14/2016
1,2,0,ESP,0,Transient,161,Resort,RTransient2016June17-2,6/17/2016
1,2,0,PRT,0,Transient,72,Resort,RTransient2016June19-5,6/19/2016
1,2,0,PRT,0,Transient,115.75,Resort,RTransient2016June19-7,6/19/2016
1,2,0,PRT,0,Transient,118.15,Resort,RTransient2016June25-14,6/25/2016
0,3,1,SWE,0,Transient,150.71,Resort,RTransient2016June25-18,6/25/2016
1,2,0,PRT,0,Transient,159,Resort,RTransient2016June30-1,6/30/2016
1,2,0,IRL,0,Transient,160.71,Resort,RTransient2016July9-11,7/9/2016
1,2,0,PRT,0,Transient,159.5,Resort,RTransient2016July9-12,7/9/2016
1,2,0,ESP,0,Transient,175,Resort,RTransient2016July13-2,7/13/2016
1,2,0,PRT,0,Transient,150.8,Resort,RTransient2016July16-16,7/16/2016
1,2,0,PRT,0,Transient,165,Resort,RTransient2016July16-30,7/16/2016
1,2,0,ESP,0,Transient,180,Resort,RTransient2016July18-10,7/18/2016
1,2,0,ESP,0,Transient,227,Resort,RTransient2016July19-8,7/19/2016
1,2,0,PRT,0,Transient,143.2,Resort,RTransient2016July20-7,7/20/2016
1,2,0,PRT,0,Transient,167.2,Resort,RTransient2016July20-8,7/20/2016
1,2,0,FRA,0,Transient,207,Resort,RTransient2016July24-6,7/24/2016
1,2,0,PRT,0,Transient,205,Resort,RTransient2016July30-9,7/30/2016
1,2,0,PRT,0,Transient-Party,165,Resort,RTransient-Party2016August1-1,8/1/2016
1,2,2,PRT,0,Transient,212.14,Resort,RTransient2016August1-21,8/1/2016
1,2,0,PRT,0,Transient,126,Resort,RTransient2016August2-11,8/2/2016
1,2,0,ESP,0,Transient,189,Resort,RTransient2016August3-2,8/3/2016
1,2,1,PRT,0,Transient,272.7,Resort,RTransient2016August4-3,8/4/2016
1,2,0,PRT,0,Transient,125.4,Resort,RTransient2016August4-6,8/4/2016
1,2,2,PRT,0,Transient,259,Resort,RTransient2016August5-4,8/5/2016
1,2,0,GBR,0,Transient,240,Resort,RTransient2016August10-9,8/10/2016
1,2,0,ESP,0,Transient,189,Resort,RTransient2016August12-10,8/12/2016
1,2,0,ITA,0,Transient,231,Resort,RTransient2016August15-18,8/15/2016
1,2,0,ESP,0,Transient,219,Resort,RTransient2016August17-10,8/17/2016
1,2,0,PRT,0,Transient,214,Resort,RTransient2016August18-1,8/18/2016
1,2,0,DEU,0,Transient,237,Resort,RTransient2016August18-12,8/18/2016
1,3,0,DEU,0,Transient,288,Resort,RTransient2016August18-15,8/18/2016
1,2,0,PRT,0,Transient,143.2,Resort,RTransient2016August20-19,8/20/2016
1,2,0,IRL,0,Transient,170.56,Resort,RTransient2016August23-11,8/23/2016
1,2,2,DEU,0,Transient,195,Resort,RTransient2016August24-13,8/24/2016
1,2,0,ROU,0,Transient,194,Resort,RTransient2016August25-1,8/25/2016
1,2,0,BLR,0,Transient,206.71,Resort,RTransient2016August26-23,8/26/2016
1,2,0,USA,0,Transient,189.8,Resort,RTransient2016August28-10,8/28/2016
0,2,0,GBR,0,Transient,68.61,Resort,RTransient2016August29-18,8/29/2016
0,2,0,GBR,0,Contract,85.88,Resort,RContract2016August29-2,8/29/2016
1,2,2,BRA,0,Transient,199,Resort,RTransient2016September5-2,9/5/2016
1,1,0,PRT,0,Transient,89,Resort,RTransient2016September7-2,9/7/2016
1,1,0,PRT,0,Transient,89,Resort,RTransient2016September7-19,9/7/2016
0,2,0,GBR,0,Contract,53.85,Resort,RContract2016September8-1,9/8/2016
1,2,0,PRT,0,Transient,85.62,Resort,RTransient2016September10-11,9/10/2016
1,2,0,BRA,0,Transient,127.75,Resort,RTransient2016September11-11,9/11/2016
1,2,0,ESP,0,Transient,129,Resort,RTransient2016September13-2,9/13/2016
1,2,0,PRT,0,Transient,90,Resort,RTransient2016September16-6,9/16/2016
1,1,0,PRT,0,Transient,71,Resort,RTransient2016September20-6,9/20/2016
1,2,0,PRT,0,Transient,66,Resort,RTransient2016September21-24,9/21/2016
1,2,0,PRT,0,Transient-Party,64,Resort,RTransient-Party2016September24-5,9/24/2016
1,2,2,DEU,0,Transient,233,Resort,RTransient2016September26-2,9/26/2016
0,2,0,GBR,0,Transient,74.62,Resort,RTransient2016September26-28,9/26/2016
1,2,0,PRT,0,Transient,119,Resort,RTransient2016September29-3,9/29/2016
1,1,0,PRT,0,Transient,70,Resort,RTransient2016October4-5,10/4/2016
0,2,0,GBR,0,Transient-Party,48,Resort,RTransient-Party2016October6-17,10/6/2016
0,1,0,GBR,0,Transient-Party,44,Resort,RTransient-Party2016October6-20,10/6/2016
1,2,0,PRT,0,Transient-Party,48,Resort,RTransient-Party2016October6-26,10/6/2016
1,2,0,PRT,0,Transient-Party,48,Resort,RTransient-Party2016October6-40,10/6/2016
1,2,0,PRT,0,Transient-Party,55,Resort,RTransient-Party2016October9-15,10/9/2016
0,2,0,GBR,0,Transient-Party,66.28,Resort,RTransient-Party2016October9-38,10/9/2016
0,1,0,GBR,0,Transient-Party,66,Resort,RTransient-Party2016October12-9,10/12/2016
1,2,0,PRT,0,Transient-Party,60.36,Resort,RTransient-Party2016October14-6,10/14/2016
1,2,0,AUT,0,Transient-Party,60.83,Resort,RTransient-Party2016October15-16,10/15/2016
1,3,1,IRL,0,Transient,123,Resort,RTransient2016October18-18,10/18/2016
1,2,0,GBR,0,Transient,68,Resort,RTransient2016October19-1,10/19/2016
1,2,0,GBR,0,Transient,68,Resort,RTransient2016October19-2,10/19/2016
1,2,2,ESP,0,Transient,130,Resort,RTransient2016October19-8,10/19/2016
1,2,0,PRT,0,Transient-Party,49,Resort,RTransient-Party2016October20-1,10/20/2016
1,3,1,BRA,0,Transient,171,Resort,RTransient2016October21-5,10/21/2016
1,2,0,SWE,0,Transient,115,Resort,RTransient2016October21-13,10/21/2016
1,2,2,SWE,0,Transient,118,Resort,RTransient2016October22-20,10/22/2016
1,2,0,SWE,0,Transient,68,Resort,RTransient2016October22-28,10/22/2016
1,2,0,PRT,0,Transient,37.2,Resort,RTransient2016October26-13,10/26/2016
1,2,0,PRT,0,Transient,46,Resort,RTransient2016November1-12,11/1/2016
1,2,0,DEU,0,Transient,37.8,Resort,RTransient2016November1-21,11/1/2016
1,2,0,DEU,0,Transient,37.8,Resort,RTransient2016November2-7,11/2/2016
1,2,0,PRT,0,Transient,73.8,Resort,RTransient2016November3-4,11/3/2016
1,2,0,PRT,0,Transient,30,Resort,RTransient2016November5-19,11/5/2016
1,2,0,GBR,0,Transient,82.8,Resort,RTransient2016November5-26,11/5/2016
1,2,0,PRT,0,Transient,37.8,Resort,RTransient2016November8-5,11/8/2016
1,2,0,PRT,0,Transient,66,Resort,RTransient2016November10-15,11/10/2016
1,2,0,ESP,0,Transient,66,Resort,RTransient2016November12-2,11/12/2016
1,2,0,ESP,0,Transient,37.8,Resort,RTransient2016November18-5,11/18/2016
1,2,0,PRT,0,Transient,78,Resort,RTransient2016November22-1,11/22/2016
1,2,0,PRT,0,Transient,55.8,Resort,RTransient2016November24-2,11/24/2016
1,2,0,PRT,0,Transient,33.6,Resort,RTransient2016November26-22,11/26/2016
1,1,0,DEU,0,Transient,46.8,Resort,RTransient2016November27-2,11/27/2016
1,2,0,GBR,0,Transient,37.8,Resort,RTransient2016December8-5,12/8/2016
1,2,0,NLD,0,Transient,46.8,Resort,RTransient2016December8-7,12/8/2016
1,2,0,PRT,0,Transient,42,Resort,RTransient2016December9-2,12/9/2016
1,2,0,PRT,0,Transient,64,Resort,RTransient2016December28-5,12/28/2016
1,2,0,PRT,0,Transient,65,Resort,RTransient2016December28-6,12/28/2016
1,2,0,PRT,0,Transient-Party,275,Resort,RTransient-Party2016December31-2,12/31/2016
1,2,0,PRT,0,Transient,57.6,Resort,RTransient2017January1-1,1/1/2017
1,2,0,ESP,0,Transient,54.27,Resort,RTransient2017January13-1,1/13/2017
1,2,0,PRT,0,Transient,58,Resort,RTransient2017January25-2,1/25/2017
1,2,0,PRT,0,Transient,55,Resort,RTransient2017January28-10,1/28/2017
1,2,0,FRA,0,Transient,78,Resort,RTransient2017January30-6,1/30/2017
1,2,0,GBR,0,Transient,37.8,Resort,RTransient2017January31-4,1/31/2017
1,2,0,PRT,0,Transient,48,Resort,RTransient2017February17-2,2/17/2017
1,2,0,PRT,0,Transient-Party,40,Resort,RTransient-Party2017February18-5,2/18/2017
1,1,0,ITA,0,Transient-Party,37,Resort,RTransient-Party2017February19-2,2/19/2017
1,2,0,PRT,0,Transient-Party,42,Resort,RTransient-Party2017February21-3,2/21/2017
1,2,2,PRT,0,Transient,69,Resort,RTransient2017February25-3,2/25/2017
1,2,0,PRT,0,Transient-Party,55.8,Resort,RTransient-Party2017March1-8,3/1/2017
1,1,0,PRT,0,Transient-Party,45,Resort,RTransient-Party2017March5-3,3/5/2017
1,2,0,GBR,0,Transient,68,Resort,RTransient2017March8-3,3/8/2017
1,2,0,PRT,0,Transient,65,Resort,RTransient2017March9-3,3/9/2017
1,2,0,PRT,0,Transient,46,Resort,RTransient2017March9-7,3/9/2017
1,2,0,PRT,0,Transient,46,Resort,RTransient2017March9-21,3/9/2017
1,2,0,PRT,0,Transient,46,Resort,RTransient2017March9-30,3/9/2017
1,1,0,GBR,0,Transient,55,Resort,RTransient2017March9-33,3/9/2017
1,1,0,PRT,0,Transient-Party,40,Resort,RTransient-Party2017March15-2,3/15/2017
1,2,0,ITA,0,Transient,37.8,Resort,RTransient2017March15-2,3/15/2017
1,2,0,IRL,0,Transient,142,Resort,RTransient2017March16-3,3/16/2017
1,2,0,PRT,0,Transient,73,Resort,RTransient2017March27-6,3/27/2017
1,2,0,PRT,0,Transient,73,Resort,RTransient2017March27-23,3/27/2017
1,2,0,PRT,0,Transient,73,Resort,RTransient2017March27-43,3/27/2017
1,2,0,NLD,0,Transient,70,Resort,RTransient2017April2-6,4/2/2017
1,1,0,PRT,0,Transient,45,Resort,RTransient2017April3-16,4/3/2017
1,2,0,RUS,0,Transient,105,Resort,RTransient2017April4-2,4/4/2017
1,2,0,ESP,0,Transient,70,Resort,RTransient2017April5-4,4/5/2017
1,3,1,VEN,0,Transient,165,Resort,RTransient2017April6-12,4/6/2017
1,2,0,PRT,0,Transient,147,Resort,RTransient2017April8-1,4/8/2017
1,3,0,PRT,0,Transient,138.4,Resort,RTransient2017April8-2,4/8/2017
1,2,2,ISR,0,Transient,125,Resort,RTransient2017April9-2,4/9/2017
1,2,0,ESP,0,Transient,128.8,Resort,RTransient2017April11-7,4/11/2017
1,2,0,ESP,0,Transient,101.7,Resort,RTransient2017April13-10,4/13/2017
1,2,0,DEU,0,Transient,88.5,Resort,RTransient2017April14-26,4/14/2017
1,2,0,BRA,0,Transient,75,Resort,RTransient2017April17-3,4/17/2017
1,2,0,PRT,0,Transient-Party,89,Resort,RTransient-Party2017April22-5,4/22/2017
1,2,0,RUS,0,Transient,92,Resort,RTransient2017April29-19,4/29/2017
1,2,0,PRT,0,Transient,97.71,Resort,RTransient2017April29-21,4/29/2017
1,2,0,PRT,0,Transient,97.71,Resort,RTransient2017April29-36,4/29/2017
1,2,0,NA,0,Transient,48,Resort,RTransient2017April30-9,4/30/2017
1,2,0,PRT,0,Transient-Party,83.43,Resort,RTransient-Party2017April30-11,4/30/2017
1,2,0,DEU,0,Transient,147,Resort,RTransient2017May3-13,5/3/2017
1,2,0,IRL,0,Transient,85,Resort,RTransient2017May5-22,5/5/2017
1,2,0,PRT,0,Transient,115,Resort,RTransient2017May7-3,5/7/2017
1,2,0,CHE,0,Transient,90,Resort,RTransient2017May7-8,5/7/2017
1,2,0,PRT,0,Transient-Party,81,Resort,RTransient-Party2017May9-4,5/9/2017
1,2,0,DEU,0,Transient,96.14,Resort,RTransient2017May10-6,5/10/2017
1,2,0,PRT,0,Transient,90,Resort,RTransient2017May12-3,5/12/2017
1,2,2,CHE,0,Transient,173,Resort,RTransient2017May17-14,5/17/2017
1,2,0,PRT,0,Transient,47,Resort,RTransient2017May20-10,5/20/2017
